Sura_Number,Verse_Number,Subtitle_Before_Verse,VerseText_Part1,Subtitle_Middle_Of_Verse,VerseText_after_MidSubtitle_if_any,Footnote,
1,1,,"পরম করুণাময়,পরম দয়ালু আল্লাহর নামে।",,,,
1,2,," প্রশংসা আল্লাহর, মহাবিশ্বের প্রভু। ",,,,
1,3,,"পরম করুণাময়, পরম দয়ালু।",,,,
1,4,,বিচার দিনের মালিক। ,,,,
1,5,,আমরা একমাত্র আপনার উপাসনা করি; আমরা একমাত্র আপনার কাছেই সাহায্য চাই।,,,,
1,6,,আমাদেরকে সঠিক পথে পরিচালিত করুন; ,,,,
1,7,,"তাদের পথে যাদের আপনি অনুগ্রহ করেছেন; তাদের পথে নয় যারা আপনার ক্রোধের উপযুক্ত হয়েছে, তাদের পথেও নয় যারা পথভ্রষ্ট হয়েছে।",,,,
,,,,,,,
2,0,,"পরম করুণাময়, পরম দয়ালু আল্লাহর নামে।",,,,
,1,,অ. ল. ম. *,,,***,
,2,,এই ঐশীগ্রন্থটি নির্ভূল; সৎকর্মীদের জন্য একটি পথনির্দেশিকা;,,,,
,3,তিন শ্রেণীর মানুষ <br> (১) সৎকর্মী,"যারা অদৃশ্যে বিশ্বাস করে,সংযোগ প্রার্থণা (সালাত) পালন করে,*এবং আমাদের** দেয়া জীবিকা থেকে তারা দান করে।",,,***,
,4,,"এবং তারা বিশ্বাস করে যা তোমার কাছে প্রকাশিত হয়েছে,এবং যা তোমার পূর্বে প্রকাশিত হয়েছে,এবং পরকাল সম্পর্কে তারা সম্পূর্ণ নিশ্চিত।",,,,
,5,,এরাই তাদের প্রভুর দ্বারা পথ-প্রদর্শিত; এরাই বিজয়ী।,,,,
,6,(২) অবিশ্বাসী,"আর যারা অবিশ্বাস করে,তাদেরকে তুমি সতর্ক করো অথবা সতর্ক না করো,তা তাদের জন্য সমান কথা,তারা বিশ্বাস করতে পারে না।*",,,***,
,7,,"আল্লাহ তাদের অন্তর এবং শ্রবনশক্তিতে মোহর মেরে দিয়েছেন,এবং তাদের চোখ পর্দাবৃত। তারা নিজেদের উপর টেনে এনেছে কঠিন শাস্তি।",,,,
,8,(৩) ভন্ড,"এরপর রয়েছে তারা,যারা বলে,“আমরা আল্লাহ এবং শেষ দিনে বিশ্বাস করি,”অথচ তারা বিশ্বাসী নয়।",,,,
,9,,"আল্লাহ এবং যারা বিশ্বাস করে তাদেরকে ধোঁকা দেয়ার চেষ্টা করতে গিয়ে,তারা না বুঝে শুধু  নিজেদেরকেই ধোঁকা দেয়।",,,,
